codigo,descripcion,categoria
220101,COLPOSCOPIA,GINECOLOGIA Y ANATOMIA PATOLOGICA
881841/A,DOPPLER ARTERIAL MMSS O MMII- PESADO 88,PESADOS 88
881841/A,DOPPLER ARTERIAL Y VENOSO MMII O MMSS - PESADO 88,PESADOS 88
881841/B,DOPPLER ARTERIAL Y VENOSO MMII O MMSS - PESADO 88,PESADOS 88
881840,DOPPLER CARDIACO - PESADO 88,PESADOS 88
881842,DOPPLER RENAL PESADO 88,PESADOS 88
881841/A,DOPPLER VASOS CUELLO - PESADO 88,PESADOS 88
881841/A,DOPPLER VENOSO MMSS O MMII - PESADO 88,PESADOS 88
170101,ECG,CARDIOLOGIA
180112,ECO ABDOMEN,DIAGNOSTICO POR IMAGENES
180113,ECO ABDOMEN,DIAGNOSTICO POR IMAGENES
881803,ECO CADERAS BEBE,DIAGNOSTICO POR IMAGENES
180113,ECO HBP,DIAGNOSTICO POR IMAGENES
180106,ECO MAMAS,DIAGNOSTICO POR IMAGENES
881806,ECO MAMAS,DIAGNOSTICO POR IMAGENES
881806,ECO PARTES BLANDAS,DIAGNOSTICO POR IMAGENES
180116,ECO RENAL,DIAGNOSTICO POR IMAGENES
180111,ECO TESTICULAR,DIAGNOSTICO POR IMAGENES
180110,ECO TIROIDES,DIAGNOSTICO POR IMAGENES
180104,ECO TOCOGINECOLOGICA,DIAGNOSTICO POR IMAGENES
881807,ECO TV TRANSVAGINAL,DIAGNOSTICO POR IMAGENES
180114,ECO VESICAL Y/O PROSTATA,DIAGNOSTICO POR IMAGENES
290101,EEG,NEUROLOGIA
290102,EEG,NEUROLOGIA
420102,EEG,NEUROLOGIA
881706,ERGOMETRIA,CARDIOLOGIA
880502,ESPIROMETRIA,NEUMONOLOGIA
880501,ESPIROMETRIA,NEUMONOLOGIA
280102,ESPIROMETRIA,NEUMONOLOGIA
130110,EXTRACCION DE PUNTOS,TRAUMATOLOGIA
881710,HOLTER,CARDIOLOGIA
340601,MAMOGRAFIA,DIAGNOSTICO POR IMAGENES
340601,MAMOGRAFIA,DIAGNOSTICO POR IMAGENES
340602,MAMOGRAFIA,DIAGNOSTICO POR IMAGENES
340602,MAMOGRAFIA,DIAGNOSTICO POR IMAGENES
881701,MAPA,CARDIOLOGIA
150106,PAP,GINECOLOGIA Y ANATOMIA PATOLOGICA
340421,RX ABDOMEN ……....(FRENTE),DIAGNOSTICO POR IMAGENES
340422,RX ABDOMEN ………( PERFIL),DIAGNOSTICO POR IMAGENES
340213,"RX CODO, ANTEBRAZO, MUÑECA, MANO, DEDOS, RODILLA,ROTULA, PIERNA, TOBILLO , PIE TODO FRENTE Y PERFIL",DIAGNOSTICO POR IMAGENES
340210,"RX COLUMNA CERVICAL, DORSAL Y LUMBAR …………( PERFIL)",DIAGNOSTICO POR IMAGENES
340209,"RX COLUMNA CERVICAL, DORSAL Y LUMBAR……….. ( FRENTE)",DIAGNOSTICO POR IMAGENES
340202,RX CRANEO / SENOS PARANASALES….… ( PERFIL),DIAGNOSTICO POR IMAGENES
340201,RX CRANEO/CAVUM / SENOS PARANASALES……... ( FRENTE),DIAGNOSTICO POR IMAGENES
340211,RX HOMBRO / PELVIS/CADERA/ FEMUR/HUMERO……..… .(FRENTE),DIAGNOSTICO POR IMAGENES
340212,RX HOMBRO/PELVIS/CADERA/ FEMUR/HUMERO ……..….. ( PERFIL),DIAGNOSTICO POR IMAGENES
340301,RX TORAX / PARRILLA COSTAL…..……. (FRENTE),DIAGNOSTICO POR IMAGENES
340302,RX TORAX/PARILLA COSTAL……..…. ( PERFIL),DIAGNOSTICO POR IMAGENES
