id,nombre,matricula,especialidad
67,"Acosta, Malena",,Odontología
53,"Agnoli, Alexis",,Odontología
1,"Alvarez Lopez, Ruben Nahuel",,Cardiología
52,"Amarilla, Laura",,Odontología
20,"Ana, Varela",,Ecografía
38,"Bersuker, Martin Amadeo",,Ginecología
75,"Bertolo, Camila",,Oftalmología
59,"Bodeman, Geraldine",,Odontología
17,"Bonilla Franco, Jorge Enrique",,Ecografía
3,"Brian Alfonso, Garcia Demera",,Cardiología
93,"Brito Santiago, Omar Alonso",,Traumatología
107,"COLOMBO, NICOLAS",,Traumatología
34,"Cabarcas Palma, Diosa Patricia",,Ginecología
73,"Cari, Cecilia",,Odontología
33,"Carlos, Bittar",,Ginecología
66,"Cañete, Maiten",,Odontología
27,"Cedeño Carpio, Adrian Alexander",,Ecografía
50,"Cepero, Aldana",,Odontología
94,"Coello Gomez, Napoleon Alberto",,Traumatología
56,"Collazo, Belen",,Odontología
70,"Dantas, Evelin",,Odontología
23,"David, Macuace",,Ecografía
87,"Donofrio Pasaporte, Maria Alejandra",,Reumatologia
30,"Electroencefalogramas, E.e.g",,Electroencefalograma
31,"Ergometria, Berazategui Calle 15 N° 4676",,Ergometrias
32,"Ergometrias, Lomas",,Ergometrias
8,"Fabiano, Diego Santiago",,Cirugía
28,"Fernandez, Natalia Soledad",,Ecografía
36,"Fernando, Dron",,Ginecología
105,"Freddy, Romero",,Traumatología
9,"Fredes, Mariano Gustavo",,Cirugía
40,"Frette, Fernando",,Ginecología
10,"Frontera, Federico Ignacio",,Cirugía
54,"Gallo Mendoza, Rocio Belen",,Odontología
63,"Garate, Veronica",,Odontología
35,"Gereme, Gustavo",,Ginecología
22,"Giovanna, Prieto",,Ecografía
103,"Gomez Gutierrez, Geiner Manuel",,Traumatología
24,"Guerrero Sendoya, Alejandra Lisath",,Ecografía
109,"Guinoa, Ignacio Saez De",,Videollamada- clinica medica
61,"Kesler, Eliana",,Odontología
108,"Lasko, Alejandro Javier",,Traumatología
57,"Levy, Cecilia",,Odontología
69,"Lezana, Camila",,Odontología
18,"Lira Villarroel, Emilio Jose",,Ecografía
76,"Maciel, Judith",,Oftalmología
68,"Mamani, Jacqueline",,Odontología
46,"Mamografia Bilateral, Mamografia",,Mamografía
72,"Maria, De La Serna",,Odontología
104,"Martin, Padilla",,Traumatología
83,"Montes Barros, Katherine",,PEDIATRIA PROGRAMADA
39,"Morales, Alejandro Daniel",,Ginecología
19,"Murcia Leal, Yeisson Humberto",,Ecografía
25,"Muñoz, Carlos",,Ecografía
64,"Narvaez, Ludmila",,Odontología
29,"Nieto Gomez, Carlos Jose",,Ecografía
324,"OEAf10f6d946353, ProfA",MPOEA-A-f10f6d946353,
325,"OEAf10f6d946353, ProfB",MPOEA-B-f10f6d946353,
16,"Ojeda Davila, Antony Enrique",,Ecografía
2,"Orellana Quezada, Patricio Xavier",,Cardiología
97,"Ortega Romero, Natali Gardenia",,Traumatología
95,"Palma, Jhonny",,Traumatología
85,"Presurometria, Mapa Lomas De Zamora",,Presurometria 24 hs
86,"Presurometria- Mapa, Calle 15 N° 4676",,Presurometria 24 hs
60,"Ramos Ramirez, Dayla Mitchell",,Odontología
5,"Ribeiro Silva, Paula",,Cardiología
6,"Rivera Gonzales, Alison Giselle",,Cardiología
106,"Rocha, Leon",,Traumatología
99,"Romero, Fernando Daniel",,Traumatología
26,"Sani Alcibar, Esau Vicente",,Ecografía
65,"Schwindt, Marcela",,Odontología
55,"Sosa, Paola",,Odontología
96,"Soto, Leonardo",,Traumatología
37,"Teran Montenegro, Steven Andres",,Ginecología
88,"Torres, Seminario",,Reumatologia
82,"Ullon, Cesar",,PEDIATRIA PROGRAMADA
98,"Ureña Melgarejo, Helen",,Traumatología
51,"Varela, Noelia",,Odontología
100,"Vega Araujo, Hector Jaime",,Traumatología
101,"Veizaga Goytia, Milton Remberto",,Traumatología
92,"Villagran, Guillermo",,Traumatología
102,"Violini, Ignacio",,Traumatología
21,"Yacub, Yadry",,Ecografía
71,"Zugnoni, Regina",,Odontología
77,Adriana Zurita,,Oftalmología
49,Americo Delgado Vargas,,Neurología
12,Antonieta Boianelli,,Dermatologia
45,Calle 15 N° 4676 Holter,,HOLTER 12 CANALES
62,Carolina Trombetta,,Odontología
84,Cesar Ullon,,PEDIATRIA PROGRAMADA
78,Cintia Solange Pineda,,Oftalmología
81,Diego Diaz,,Oftalmología
42,Diosa Patricia Cabarcas Palma,,Ginecología
58,Eliana Natali Salinas,,Odontología
11,Erica Yolima Mora Aguilar,,Dermatologia
47,Eugenia Gisela Bertino,,NEUMONOLOGIA
14,Franco Caceres,,Ecocardiograma y doppler cardiaco
74,Franco Rossitto,,Odontología
43,Gabriela Beatriz Melis,,Ginecología
13,Jorge Nonnis,,Ecocardiograma y doppler cardiaco
80,Juan Pablo Salinas,,Oftalmología
79,Judith Maciel,,Oftalmología
48,Julio Figueroa,,NEUMONOLOGIA
44,Lomas Holter,,HOLTER 12 CANALES
89,Maria Alejandra Donofrio Pasaporte,,Reumatologia
41,Maria Nelida Guerini,,Ginecología
15,Monica Castillo,,Ecocardiograma y doppler cardiaco
7,Nestor Alberto Jerez,,CARDIOLOGIA INFANTIL
91,Oscar Gardeñez,,Reumatologia
90,Seminario Torres,,Reumatologia
